example_id,context,description,category,confidence,reviewer_notes
L22-0001, impact on the local economy will be driven by data [ on]  expenditures by type for the major segments of the industry,,,,
L22-0002, you identify Battery Williams (to the left of the [ tracks] ) and Battery Robinett (behind the tent camp,,,,
L22-0003, (also called Gafieira) is a [ partner]  dance to the Brazilian samba musical rhythms and must be,,,,
L22-0004," Clinical Oncology.
Although there are ongoing shortages of [ anesthesia] , pain medicines and antibiotics, the scarcity of cancer",,,,
L22-0005, – this research targeted the very first stages of disease [ when]  healthy cells can influence nearby unhealthy ones. Researchers have,,,,
L22-0006," and operate, more cables between England and the Continent [ until]  they were nationalised in 1890",,,,
L22-0007,"After 4 months of pregnancy, some women will [ appear]  yellow -brown spots on their faces. They are",,,,
L22-0008," from the first machine back to the store, and [ then]  on to the next machine, and so forth.",,,,
L22-0009," in the teaching of typography over a thirty-year [ period] , I know that it is reasonably effective in the",,,,
L22-0010," Sports Reference

1933 births
Living [ people] 
Soviet male high jumpers
Russian male high jumpers",,,,
L22-0011," a heightened sensitivity of the neuronal pathways that mediate cough [ underlie]  the symptoms.
In addition, the guidelines highlight",,,,
L22-0012," monsters that litter civilization’s landscapes.
Our [ country]  is blessed because the Founders recognized that the closer the",,,,
L22-0013," triggering the by-election.

Candidates
The [ Conservative]  party discussed several possible candidates, and at a meeting",,,,
L22-0014," months, the app was downloaded almost three-quarters [ of]  a billion times, which is more than the combined",,,,
L22-0015," larger doses can be used if it is being applied [ externally] . Typically, the fruit is mashed or charred,",,,,
L22-0016," of being vertical. This modification brought the chimney in [ line]  with the cylinders and avoided a ""set"" in",,,,
L22-0017," the wilds of the Southwest. Thanks to Leopold' [s]  later efforts, in 1925 the",,,,
L22-0018, producing artificial intelligence seems to be the main focus for [ elderly]  care. Applications such as ElliQ are still growing,,,,
L22-0019,"1987.  A successful sire, [ he]  produced 11 stakes winners.

A bay",,,,
L22-0020,"s) and other halogenated hydrocarbons.
Last [ update] :November 25, 201",,,,
L22-0021," with the right care. The symptoms of Tourette [ syndrome] , namely verbal tics, may inhibit a person",,,,
L22-0022," concerned with the structure of living organisms.
A [ branch]  of medicine dealing with the care of women. This",,,,
L22-0023," folk music in the mountains of western North Carolina. [ Although]  Songcatcher is a fictional film, it is loosely",,,,
L22-0024, are isobaric chamber types which recover energy in the [ brine]  stream and deliver it to water going to the membrane,,,,
L22-0025," Puerto Ricans, a Blackman, and a [ Dominican]  and the 28th Street Crew. At",,,,
L22-0026,"00, plus standing room if needed.

 [On]  Wednesday, May 20, 20",,,,
L22-0027, (Access requires login) This article discusses how your [ written]  report should convey how much your program has to offer,,,,
L22-0028," was "" boots and saddles,"" and in less time [ than]  one can write it, the Royal Bengal Lancers",,,,
L22-0029," peripheral nervous system. Thus, they are found in [ sensory] , sympathetic, and parasympathetic ganglia.  Both",,,,
L22-0030,"As Brown continued developing his aerial navigation skills, Al [cock]  approached the Vickers engineering and aviation firm at Weybridge",,,,
L22-0031," by the DepEd central office, regional, and [ schools]  division offices.
Parental consent must be secured",,,,
L22-0032,67. The designers of the M55 [1]  faced a difficult problem; guns capable of destroying main,,,,
L22-0033," of chemical weapons has been hanging over war-torn [ Syria]  for months.
Although viewed with skepticism by U",,,,
L22-0034,"theozyme"" concept put forth by Kendall Hou [k]  and colleagues.
The role of enzyme flexibility in",,,,
L22-0035,"Schedule

References

Wyoming
Wyoming Cowboys [ football]  seasons
Wyoming Cowboys football
College football undefeated",,,,
L22-0036," respect to social, economic, and political organization. [ Kin] ship terminology follows the Omaha I pattern",,,,
L22-0037," became the property of the government. Today, it [ is]  a public park with a golf course and home to",,,,
L22-0038,0 matches played between Nepal women and another international side [ after]  1 July 2018 will be,,,,
L22-0039,"-GO EDITED BY: Mooloo
 [DATE]  ADDED: Jan 20, 2",,,,
L22-0040,"urtles comprise one of the oldest living groups of [ reptiles] , with hundreds of species found throughout the world.",,,,
L22-0041,"

 All India Radio
 The Aluminum Group
 Lindsay [ Anderson] 
 Astrid Swan
 Axe Riverboy
 Bark Bark",,,,
L22-0042," best 32. Afterwards, the Junior Pro [ Tour]  was discontinued and Budde was automatically qualified for the",,,,
L22-0043," in 1991, the second one [ following]  the next year and extending the completed route to just",,,,
L22-0044,"58, under Charles R. Bentley, which [ named]  the mountain for Professor Robert P. Sharp, a",,,,
L22-0045," full-length non-fiction book, which he [ wrote]  in 1987 after visiting Nicaragua.",,,,
L22-0046, time and when cubs stay with their mother till adulthood [ at]  about 2 years of age. One young biologist,,,,
L22-0047," to have none or just a small percentage of women [ on]  it's force.
Story highlights women make",,,,
L22-0048," the mitochondria.
Good muscular endurance supports you in [ many]  activities in your everyday life. Carrying heavy shopping bags",,,,
L22-0049, games to ensure that the game is age appropriate. [ ESR] B ratings are displayed for all games in the Google,,,,
L22-0050,<bos>Bragdon-Lipe [ House]  is a historic home located at Canajoharie,,,,
L22-0051,"on, gathered a . large number of interested students [ and]  started a yeshiva in the (now Belarusian)",,,,
L22-0052, and the heavier bodywork reduced performance and made the [ car]  less stable. Möve translates into English as Gull,,,,
L22-0053, athletics and cricket. Association football was only a secondary [ concern] . Since the club was set up to represent England,,,,
L22-0054,"<bos>NCI Dictionary of Cancer Terms
 [The]  NCI Dictionary of Cancer Terms features 7,",,,,
L22-0055,listing in the British Army in 193 [9] . After spending five years as a prisoner of war,,,,
L22-0056," few years. 
Parents ought to know what [ CDC]  has to say about recalled vaccines and that their children",,,,
L22-0057,"Deep Ozon

Deep: clubDeep Ozon [ was]  an event held on July 14, ",,,,
L22-0058," Dealing with China, Paulson is hoping Western readers [ will]  better understand the changes in China, which is still",,,,
L22-0059," quarterly report this week. In it, they expressed [ concern]  about Canada’s debt-to-GDP gap",,,,
L22-0060,".
Eureka is the largest coastal city between San [ Francisco]  and Portland, and the westernmost city of more",,,,
L22-0061, frescoes are so well preserved in part because they were [ hidden]  under a layer of Gothic paintings applied in the late,,,,
L22-0062," the traditional region of Styria and is now included [ in]  the Drava Statistical Region.

References

External",,,,
L22-0063,"DEW-nite). The term peridot comes [ directly]  from the French ""peridot"" which in old",,,,
L22-0064, and Sajur rivers rise from Sof Mountain and flow [ southeast]  to the Euphrates across the plain of Tall Bash,,,,
L22-0065,amonti said: “Young people are demanding that [ governments]  take climate change far more seriously. There are many,,,,
L22-0066," the air.
- Continue this pattern of deep [ belly]  breathing for several minutes, focusing on the rise and",,,,
L22-0067, is a fantastic time to be out in the garden [ as]  summer veggies are really flourishing at their best. Unfortunately,,,,
L22-0068," is, gas masks are an absolute necessity in our [ society] , and they were before coronavirus ever hit the masses",,,,
L22-0069,"2011)
The Spectacular (2 [0] 21)

Films
Coma (1",,,,
L22-0070," THE MONTEREY PENINSULA"". Los Angeles [ Times] . 1987-06-",,,,
L22-0071, above farms and barns can seep through cracks in barn [ roofs] . Farm workers can track it into barns with dirty,,,,
L22-0072," Type 209 submarines has been out of [ service]  for three years, ostensibly for maintenance. But it",,,,
L22-0073, they have no connection to the Congress of St. [ Louis]  and may not adhere to all of its principles.,,,,
L22-0074," vaccine industry. There are some different vaccine development methods [ on]  the horizon, however, that will use bacteria that",,,,
L22-0075," Vince Neil (Mötley Crüe), major [ label]  A&R people were looking for the next Kurt",,,,
L22-0076," 640x480 resolution, [ while]  newer ones had up to SVGA resolution. Pro",,,,
L22-0077," thought.
I have a lot of photos of [ trees] , I thought. I could do a post on",,,,
L22-0078,"1996), and Creation: From Nothing [ until]  Now"" (Routledge, 20",,,,
L22-0079,"'s seaside residences. During July and August each [ year] , the population of La Baule increases dramatically with",,,,
L22-0080," organisms. As a class, help students name possible [ relationships]  between the organisms. See if they can find one",,,,
L22-0081," an English footballer who played as a goalkeeper.

 [He]  played schoolboy football in Loughborough for Brush Sports",,,,
L22-0082," youthful energy into productive pursuits, developing academic skills, [ and]  relieving the pressure on overwhelmed parents. He also points",,,,
L22-0083, sighting near Shag Rocks and four confirmed sightings— [the]  first two confirmed sightings occurred in 198,,,,
L22-0084," crystal form, the density and refractive index also slightly [ differ] . The density and refractive index of cubic crystal is",,,,
L22-0085, then the copper cable systems. Fiber optic communication systems [ are]  installed in large networks of fiber optic bundles all around,,,,
L22-0086,", for the picture to look more real and authentic [ and]  second, because these papers are thicker than the usual",,,,
L22-0087," an are:

Electrolysis
About four percent [ of]  hydrogen gas produced worldwide is created by electrolysis. The",,,,
L22-0088,11 as Basel won 4–0 against [ Serv] ette FC. He scored his first two goals for,,,,
L22-0089," in 1864. His marine career [ began]  at the age of 14, when he",,,,
L22-0090,""".

Reviews and reception
In the review in [ Time] , reviewer Pico Iyer praised Rushdie's account",,,,
L22-0091," found many sympathetic ears during the ENDC debates, [ mostly]  from Italy,",,,,
L22-0092," all the way to Hong Kong University – a very [ prestigious]  school. While reading the book, you get the",,,,
L22-0093,", when you’re not sure how you’ [re]  going to get through the next day,” Steiner said",,,,
