feature_id,source,regime,text_id,token_pos,activation,context,example_id
1284,fineweb-edu-sample,1,2758,184,553.8817138671875, impact on the local economy will be driven by data [ on]  expenditures by type for the major segments of the industry,L22-0001
2193,fineweb-edu-sample,0,4552,53,237.03427124023438, you identify Battery Williams (to the left of the [ tracks] ) and Battery Robinett (behind the tent camp,L22-0002
839,fineweb-edu-sample,0,3030,18,211.86419677734375, (also called Gafieira) is a [ partner]  dance to the Brazilian samba musical rhythms and must be,L22-0003
34492,fineweb-edu-sample,1,2086,251,302.4282531738281," Clinical Oncology.
Although there are ongoing shortages of [ anesthesia] , pain medicines and antibiotics, the scarcity of cancer",L22-0004
7122,fineweb-edu-sample,0,3248,318,243.26535034179688, – this research targeted the very first stages of disease [ when]  healthy cells can influence nearby unhealthy ones. Researchers have,L22-0005
1247,wikimedia-en,0,10501,208,265.2589416503906," and operate, more cables between England and the Continent [ until]  they were nationalised in 1890",L22-0006
6629,fineweb-edu-sample,0,3244,30,264.6243896484375,"After 4 months of pregnancy, some women will [ appear]  yellow -brown spots on their faces. They are",L22-0007
4714,fineweb-edu-sample,0,88,165,188.0752410888672," from the first machine back to the store, and [ then]  on to the next machine, and so forth.",L22-0008
6846,wikimedia-en,1,10846,99,324.30078125," in the teaching of typography over a thirty-year [ period] , I know that it is reasonably effective in the",L22-0009
1247,wikimedia-en,1,10970,86,722.0164794921875," Sports Reference

1933 births
Living [ people] 
Soviet male high jumpers
Russian male high jumpers",L22-0010
1827,fineweb-edu-sample,1,5339,464,575.8970336914062," a heightened sensitivity of the neuronal pathways that mediate cough [ underlie]  the symptoms.
In addition, the guidelines highlight",L22-0011
1247,fineweb-edu-sample,1,4433,197,1140.53076171875," monsters that litter civilization’s landscapes.
Our [ country]  is blessed because the Founders recognized that the closer the",L22-0012
34492,wikimedia-en,0,11410,198,207.34654235839844," triggering the by-election.

Candidates
The [ Conservative]  party discussed several possible candidates, and at a meeting",L22-0013
7122,fineweb-edu-sample,0,3550,39,194.42190551757812," months, the app was downloaded almost three-quarters [ of]  a billion times, which is more than the combined",L22-0014
905,fineweb-edu-sample,1,522,320,701.340087890625," larger doses can be used if it is being applied [ externally] . Typically, the fruit is mashed or charred,",L22-0015
905,wikimedia-en,0,7409,350,179.95040893554688," of being vertical. This modification brought the chimney in [ line]  with the cylinders and avoided a ""set"" in",L22-0016
1772,fineweb-edu-sample,1,3988,485,561.155517578125," the wilds of the Southwest. Thanks to Leopold' [s]  later efforts, in 1925 the",L22-0017
25249,fineweb-edu-sample,1,2277,315,456.7793273925781, producing artificial intelligence seems to be the main focus for [ elderly]  care. Applications such as ElliQ are still growing,L22-0018
2241,wikimedia-en,1,9226,52,1099.64697265625,"1987.  A successful sire, [ he]  produced 11 stakes winners.

A bay",L22-0019
2193,fineweb-edu-sample,0,5742,84,241.84085083007812,"s) and other halogenated hydrocarbons.
Last [ update] :November 25, 201",L22-0020
25249,fineweb-edu-sample,0,96,34,172.55972290039062," with the right care. The symptoms of Tourette [ syndrome] , namely verbal tics, may inhibit a person",L22-0021
252,fineweb-edu-sample,0,2043,215,197.37506103515625," concerned with the structure of living organisms.
A [ branch]  of medicine dealing with the care of women. This",L22-0022
1247,wikimedia-en,1,7281,38,527.4208984375," folk music in the mountains of western North Carolina. [ Although]  Songcatcher is a fictional film, it is loosely",L22-0023
11908,wikimedia-en,0,7371,261,198.73294067382812, are isobaric chamber types which recover energy in the [ brine]  stream and deliver it to water going to the membrane,L22-0024
11908,wikimedia-en,0,11898,212,210.246826171875," Puerto Ricans, a Blackman, and a [ Dominican]  and the 28th Street Crew. At",L22-0025
1827,wikimedia-en,0,10620,85,185.51873779296875,"00, plus standing room if needed.

 [On]  Wednesday, May 20, 20",L22-0026
1772,fineweb-edu-sample,1,4567,347,550.4772338867188, (Access requires login) This article discusses how your [ written]  report should convey how much your program has to offer,L22-0027
905,wikimedia-en,0,8914,372,258.9285888671875," was "" boots and saddles,"" and in less time [ than]  one can write it, the Royal Bengal Lancers",L22-0028
25249,wikimedia-en,1,9646,36,455.44647216796875," peripheral nervous system. Thus, they are found in [ sensory] , sympathetic, and parasympathetic ganglia.  Both",L22-0029
1284,wikimedia-en,0,10327,450,221.31878662109375,"As Brown continued developing his aerial navigation skills, Al [cock]  approached the Vickers engineering and aviation firm at Weybridge",L22-0030
252,fineweb-edu-sample,1,878,316,468.81573486328125," by the DepEd central office, regional, and [ schools]  division offices.
Parental consent must be secured",L22-0031
2241,wikimedia-en,1,10592,400,477.22967529296875,67. The designers of the M55 [1]  faced a difficult problem; guns capable of destroying main,L22-0032
4714,fineweb-edu-sample,0,3369,14,170.9191131591797," of chemical weapons has been hanging over war-torn [ Syria]  for months.
Although viewed with skepticism by U",L22-0033
2193,fineweb-edu-sample,1,4921,218,663.3978271484375,"theozyme"" concept put forth by Kendall Hou [k]  and colleagues.
The role of enzyme flexibility in",L22-0034
1247,wikimedia-en,0,6367,81,255.73446655273438,"Schedule

References

Wyoming
Wyoming Cowboys [ football]  seasons
Wyoming Cowboys football
College football undefeated",L22-0035
11908,wikimedia-en,1,8468,504,499.5780944824219," respect to social, economic, and political organization. [ Kin] ship terminology follows the Omaha I pattern",L22-0036
252,wikimedia-en,0,6242,257,250.48345947265625," became the property of the government. Today, it [ is]  a public park with a golf course and home to",L22-0037
